execucao,total_classes_retornadas,classes_avaliadas,classes_corretas_amostra,classes_incorretas_amostra,precisao_estimada,ic95_inf,ic95_sup,classes_corretas_estimadas,classes_corretas_estimadas_inf,classes_corretas_estimadas_sup
LLM Execução 1,144,105,102,3,0.9714285714285714,0.9193437093626844,0.9902361609612977,139.88571428571427,132.38549414822654,142.59400717842686
LLM Execução 2,146,106,105,1,0.9905660377358491,0.9484864519702955,0.9983327282972411,144.62264150943398,138.47902198766315,145.7565783313972
LLM Execução 3,150,109,109,0,1.0,0.9659570262486751,1.0000000000000002,150.0,144.89355393730125,150.00000000000003
